origin	terminus	name	stops	route
pakistan_refinery	saddar	61-A	11	pakistan_refinery>crossing>qayyumabad>akhter_colony>defence_mor>kalapul>jinnah_hospitall>lucky_star>saddar
saudabad	nasir_colony	F-1	13	saudabad>malir_jinnah_square>malir_city>quaidabad>dawood_chowrangi>17_bus_stop>babar_market>landhi_no_5>korangi_no_5>korangi_no_1>nasir_colony
new_khi	saddar	4-B	13	new_khi>industrial_area>karimabad>liaquatabad>teen_hatti>gurumandir>ma_jinnah_road>bandar_road>preedy_street>police_station>saddar
saddar	dhobi_ghat	17-H	14	saddar>jinnah_central_hospital>kalapul>defence_market>akhter_colony>kpt_flyover_interchange>korangi_crossing>korangi_no_1>korangi_no_2-1/2>korangi_no_4>korangi_no_5-1/2>dhobi_ghat
pahalwan_goth	gizri	F-13	15	pahalwan_goth>al_shifa_terminal_no_4>malir_halt>quaidabad>dawood_chowrangi>landhi_no_4>36-b_area>mills_area>bilal_colony>kalapul>jinnah_hospitall>cantt_station>gizri
gulistan-e-jouhar	ma_jinnah_road	11-A	15	gulistan-e-jouhar>sufari_park>NIPA>civic_centre>sabzi_mandi>jail_road>hyderabad_colony>gurumandir>numaish>saddar>regal>saeed_manzil>ma_jinnah_road
north_nazimabad_block_m	keamari	2-K	15	north_nazimabad_block_m>shahra-e-jehangir>water_pump>hyderi>paposh_nagar>bara_maidan>nazimabad_no_2>petrol_pump>gurumandir>saddar>burns_road>tower>keamari
maymar_complex	tower	4-L	15	maymar_complex>al-asif_plaza>sohrab_goth>water_pump>karimabad>liaquatabad>teen_hatti>numaish>saddar>empress_market>burns_road>ma_jinnah_road>tower
ahsanabad	ibrahim_hyderi	S-3	15	ahsanabad>maymar_complex>al_asif_square>sohrab_goth>NIPA>civic_centre>agha_khan_hospital>jail_chowrangi>shaheed-e-millat_road>baloch_colony>korangi_no_3>akbar_shah_goth>ibrahim_hyderi
qaddafi_town	qabrastan	D-12	16	qaddafi_town>quaidabad>malir_halt>star_gate>drigh_road>labour_campuse>rashid_minhas_road>NIPA>gulshan_moti_mehal>sohrab_goth>water_pump>qalandari_chowk>gulshan_farooq>qabrastan
moach_goth	26th_street	X-25	17	moach_goth>shershah>pankha_hotel>mira_naka_mirza_adam_khan_road>agra_taj_hanif_manzil>kharadar>ismail_jamat_khana>tower>keamari>tarachand_road>kpt_ground>shirin_jinnah_colony>kharkar_chowrangi>clifton>26th_street
raees_amrohi_colony	sharifabad	1-L	17	raees_amrohi_colony>islam_chowk>nishan-e-hyder_chowk>orangi_no_5>metro_bamarag>habib_bank>bara_road>bismillah_hotel>garden>saddar>jinnah_hospital>akhter_colony>qayyumabad>korangi_industrial_area>sharifabad
keamari	tokyo_terrace_plaza	7-H	17	keamari>tower>bolton_market>eidgah>ranchore_line>garden>lasbela>postoffice>sindhi_hotel>new_town>civic_centre>NIPA>university_road>safoora_goth>tokyo_terrace_plaza
pahalwan_goth	bhains_colony	G-21	17	pahalwan_goth>safari_park>university_road>NIPA>hassan_square>jail_road>shaheed-e-millat_road>baloch_colony>new_bund_chowrangi>bilal_chowrangi>hassan_chowrangi>landhi_no_4>babar_market>hospital_chorangi>bhains_colony
raja_ghazanfar_ali_road	gul_ahmed_textile_mills	C-2	18	raja_ghazanfar_ali_road>inverarity_road>lucky_star>jinnah_hospitall>kalapul>defence_society>akhter_colony>qayyumabad>bhittai_colony>korangi_bus_depot>korangi_no_1>korangi_no_5>36-c_area>k-_area>landhi_no_5>gul_ahmed_textile_mills
rehmania_mour	tower	2-C	18	rehmania_mour>khawaja_ajmeer_nagri>baradari>disco_mor>nusrat_bhutto_colony>abdullah_college>nazimabad_no_7>petrol_pump>lasbela>patel_para>gurumandir>numaish>saddar>frere_road>jama_cloth_market>tower
saadi_town	qasim_ali_shah	X-20	18	saadi_town>gulshan_umar>race_course>safoora_goth>khi_university>NIPA>hassan_square>jail_road>plaza>ramsawami>shershah_ghani_chowrangi>labour_square>rasheedabad>chandni_chowk>moach_colony>qasim_ali_shah
fareed_colony	university_of_khi	G-13	19	fareed_colony>19-d>naiabadi>rasheedabad>rasheed_textile_mills>v.f_road>banaras_chowk>abdullah_college>board_office>hyderi>chowrangi>ziauddin_hospital>moosa_colony>liaquatabad_no_10>gharibabad>hassan_square>university_of_khi
moosa_colony	ground_landhi	C-3	19	moosa_colony>azam_square>liaquatabad_no_10>hassan_square>gulshan-e-iqbal>purani_sabzi_mandi>new_town_police_station>national_stadium>dalimia_cement_factory>drigh_road>malir>quaidabad>landhi_no_6>korangi_no_5>k-_area>36-b_area>ground_landhi
f.b_area	noorani_masjid	2-D	19	f.b_area>noorani_masjid>peoples_colony>imam_bara>humayun_road>k.d.a_office>north_nazimabad>board_office>nazimabad_no_7>petrol_pump>lasbela>sabil_wali_masjid>soldier_bazar>saddar>frere_road>m.w_tower>noorani_masjid
khokrapar_no_4	shershah_hub_river_road	45-A	19	khokrapar_no_4>saudabad>liaquat_market>jinnah_square>mohabbat_nagar>malir_no_15>star_gate>drigh_road_station>drive-in-cinema>NIPA>hassan_square>nazimabad>petrol_pump>habib_bank>naurus_chowrangi>ghani_chowrangi>shershah_hub_river_road
filter_plant	tower	D-19	20	filter_plant>saadi_town>safoora_goth>mosmayat>university_road>safari_park>NIPA>kashmir_chowrangi>islamia_college>gurumandir>sabil_wali_masjid>numaish>tibbat_centre>saeed_manzil>jama_cloth_market>light_house>denso_hall>tower
orangi_town	pahalwan_goth	G-10	20	orangi_town>zia_chowk>iqbal_market>orangi_islam_chowk>orangi_no_5>banaras_chowk>habib_bank>petrol_pump>nazimabad>liaquatabad_no_10>karimabad>water_pump>sohrab_goth>NIPA>gulshan-e-iqbal>safari_park>rabia_city>pahalwan_goth
yaqoobabad_orangi_town	pahalwan_goth	G-12	20	yaqoobabad_orangi_town>mansoor_nagar>rehmat_chowk>iqbal_market>islam_chowk>nishan-e-haider_road>bacha_khan_chowk>paposh_nagar>nazimabad_no_1>nazimabad_no_2>petrol_pump>liaquatabad_no_10>hassan_square>urdu_science_college>NIPA>safari_park>jauhar_square>pahalwan_goth
gul_ahmed_textile_mills	abdul_hameed_badayuni_college	F-9	21	gul_ahmed_textile_mills>dawood_chowrangi>89_bus_stop>babar_market>chirgh_hotel>landhi_no_6>36-b_auliya_masjid_burmi_colony>landhi_k-area>korangi_i-area>korangi_no_5>khudadad_colony>ma_jinnah_road>gurumandir>jahangir_road>teen_hatti>liaquatabad_no_10>k.v_seciety_hospital>site_pathan_colony>abdul_hameed_badayuni_college
